Group	HPRT1-001	HPRT1-002	HPRT1-003
R175H-Null	0.906762579295447	0.999999999066871	0.633408649332454
R248Q-Null	0.994531298455155	0.920595938383465	0.251227181438118
R273H-Null	0.931714067917791	0.0350254432351612	0.0995520395565914
WildType-Null	0.961906446797139	0.936473151215701	0.864893733861355
R248Q-R175H	0.963817258245026	0.877021892915012	0.980081664494384
R273H-R175H	0.999723068818921	0.0102159636072079	0.804727143878038
WildType-R175H	0.244958380156736	0.890786476408718	0.915230879280473
R273H-R248Q	0.980715370462666	0.0351834634872527	0.962595606850723
WildType-R248Q	0.422798977308844	0.999695190520239	0.305525771353169
WildType-R273H	0.151776026155432	0.00414338492446387	0.0712154673639743
