Group	HPRT1_processed_transcript	HPRT1_protein_coding
R175H-Null	0.995766559989131	0.906762579295447
R248Q-Null	0.976396221375706	0.994531298455155
R273H-Null	0.92700927125344	0.931714067917791
WildType-Null	0.998208068800612	0.961906446797139
R248Q-R175H	0.999657922951674	0.963817258245026
R273H-R175H	0.990876690336853	0.999723068818921
WildType-R175H	0.999745448577593	0.244958380156736
R273H-R248Q	0.997687279498047	0.980715370462666
WildType-R248Q	0.984259328875586	0.422798977308844
WildType-R273H	0.903051164324149	0.151776026155432
