Group	TK1-001	TK1-002	TK1-003	TK1-004	TK1-005	TK1-006
R175H-Null	0.999978682792252	0.845128935514128	0.796693323126708	0.999594746489738	0.863002371664105	0.98470589359151
R248Q-Null	0.776143240587807	0.381804957025216	0.999995505306321	0.996463186928699	0.999989594714258	0.999998828493546
R273H-Null	0.84517770632631	0.402346098309709	0.987765670502192	0.999954648870963	0.99967503384571	0.999558001523367
WildType-Null	0.20766184112843	0.0784398847162447	0.999829231513875	0.985712076757954	0.999999351025216	0.983014743395106
R248Q-R175H	0.589229620026433	0.9432312336867	0.650027390926267	0.960733260392444	0.766861399841497	0.971248977545402
R273H-R175H	0.694031884885152	0.948765629258161	0.283126729814555	0.999946960668192	0.589112918630732	0.993411369055695
WildType-R175H	0.0603952309576586	0.494011350033028	0.372118329756761	0.892491719669554	0.649019618482491	0.999959977832736
R273H-R248Q	0.999852080971266	0.999999999800555	0.936474070704109	0.965709671429995	0.995388974265214	0.999396383514741
WildType-R248Q	0.634860718669667	0.852481797361974	0.99594024267996	0.999649000870792	0.999992797862674	0.941326210679132
WildType-R273H	0.556225071994829	0.870680862929913	0.979944252898636	0.872775117274153	0.995524417192487	0.990978732369717
